ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Si,2.7973852057,8.3921556170,2.7973852057
Si,8.3921556170,8.3921556170,8.3921556170
Si,13.9869260283,8.3921556170,2.7973852057
Si,11.1895408226,5.5947704113,0.0000000000
Si,19.5816964396,8.3921556170,8.3921556170
Si,16.7843112339,5.5947704113,5.5947704113
Si,8.3921556170,19.5816964396,8.3921556170
Si,5.5947704113,11.1895408226,0.0000000000
Si,8.3921556170,13.9869260283,2.7973852057
Si,5.5947704113,16.7843112339,5.5947704113
Si,13.9869260283,19.5816964396,2.7973852057
Si,2.7973852057,8.3921556170,13.9869260283
Si,0.0000000000,0.0000000000,16.7843112339
Si,0.0000000000,5.5947704113,11.1895408226
Si,5.5947704113,0.0000000000,11.1895408226
Si,8.3921556170,2.7973852057,13.9869260283
Si,13.9869260283,2.7973852057,19.5816964396
Si,16.7843112339,5.5947704113,16.7843112339
Si,2.7973852057,19.5816964396,13.9869260283
Si,2.7973852057,13.9869260283,19.5816964396
Si,8.3921556170,13.9869260283,13.9869260283
Si,13.9869260283,19.5816964396,13.9869260283
Si,16.7843112339,11.1895408226,11.1895408226
Si,19.5816964396,13.9869260283,13.9869260283
Ge,2.7973852057,2.7973852057,8.3921556170
Ge,0.0000000000,5.5947704113,0.0000000000
Ge,5.5947704113,5.5947704113,5.5947704113
Ge,11.1895408226,0.0000000000,5.5947704113
Ge,16.7843112339,0.0000000000,0.0000000000
Ge,19.5816964396,2.7973852057,2.7973852057
Ge,2.7973852057,19.5816964396,2.7973852057
Ge,0.0000000000,11.1895408226,5.5947704113
Ge,11.1895408226,16.7843112339,0.0000000000
Ge,19.5816964396,13.9869260283,2.7973852057
Ge,16.7843112339,16.7843112339,5.5947704113
Ge,11.1895408226,0.0000000000,16.7843112339
Ge,11.1895408226,5.5947704113,11.1895408226
Ge,19.5816964396,2.7973852057,13.9869260283
Ge,0.0000000000,16.7843112339,11.1895408226
Ge,5.5947704113,11.1895408226,11.1895408226
Sn,0.0000000000,0.0000000000,5.5947704113
Sn,5.5947704113,0.0000000000,0.0000000000
Sn,8.3921556170,2.7973852057,2.7973852057
Sn,13.9869260283,2.7973852057,8.3921556170
Sn,2.7973852057,13.9869260283,8.3921556170
Sn,0.0000000000,16.7843112339,0.0000000000
Sn,11.1895408226,11.1895408226,5.5947704113
Sn,13.9869260283,13.9869260283,8.3921556170
Sn,19.5816964396,19.5816964396,8.3921556170
Sn,16.7843112339,11.1895408226,0.0000000000
Sn,2.7973852057,2.7973852057,19.5816964396
Sn,8.3921556170,8.3921556170,19.5816964396
Sn,5.5947704113,5.5947704113,16.7843112339
Sn,13.9869260283,8.3921556170,13.9869260283
Sn,19.5816964396,8.3921556170,19.5816964396
Sn,16.7843112339,0.0000000000,11.1895408226
Sn,0.0000000000,11.1895408226,16.7843112339
Sn,8.3921556170,19.5816964396,19.5816964396
Sn,5.5947704113,16.7843112339,16.7843112339
Sn,11.1895408226,11.1895408226,16.7843112339
Sn,13.9869260283,13.9869260283,19.5816964396
Sn,11.1895408226,16.7843112339,11.1895408226
Sn,19.5816964396,19.5816964396,19.5816964396
Sn,16.7843112339,16.7843112339,16.7843112339
