ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Si,0.0000000000,0.0000000000,5.3821762221
Si,5.3821762221,0.0000000000,0.0000000000
Si,8.0732643332,2.6910881111,2.6910881111
Si,5.3821762221,5.3821762221,5.3821762221
Si,13.4554405554,8.0732643332,2.6910881111
Si,10.7643524443,0.0000000000,5.3821762221
Si,10.7643524443,5.3821762221,0.0000000000
Si,16.1465286664,0.0000000000,0.0000000000
Si,2.6910881111,18.8376167775,2.6910881111
Si,0.0000000000,16.1465286664,0.0000000000
Si,5.3821762221,16.1465286664,5.3821762221
Si,2.6910881111,2.6910881111,18.8376167775
Si,0.0000000000,5.3821762221,10.7643524443
Si,5.3821762221,5.3821762221,16.1465286664
Si,13.4554405554,8.0732643332,13.4554405554
Si,10.7643524443,0.0000000000,16.1465286664
Si,13.4554405554,2.6910881111,18.8376167775
Si,2.6910881111,18.8376167775,13.4554405554
Si,5.3821762221,10.7643524443,10.7643524443
Si,8.0732643332,13.4554405554,13.4554405554
Si,5.3821762221,16.1465286664,16.1465286664
Si,10.7643524443,16.1465286664,10.7643524443
Si,18.8376167775,18.8376167775,18.8376167775
Si,18.8376167775,13.4554405554,13.4554405554
Ge,2.6910881111,8.0732643332,2.6910881111
Ge,2.6910881111,2.6910881111,8.0732643332
Ge,13.4554405554,2.6910881111,8.0732643332
Ge,16.1465286664,5.3821762221,5.3821762221
Ge,0.0000000000,10.7643524443,5.3821762221
Ge,2.6910881111,13.4554405554,8.0732643332
Ge,8.0732643332,18.8376167775,8.0732643332
Ge,5.3821762221,10.7643524443,0.0000000000
Ge,8.0732643332,13.4554405554,2.6910881111
Ge,13.4554405554,18.8376167775,2.6910881111
Ge,10.7643524443,10.7643524443,5.3821762221
Ge,13.4554405554,13.4554405554,8.0732643332
Ge,10.7643524443,16.1465286664,0.0000000000
Ge,18.8376167775,18.8376167775,8.0732643332
Ge,16.1465286664,16.1465286664,5.3821762221
Ge,2.6910881111,8.0732643332,13.4554405554
Ge,0.0000000000,0.0000000000,16.1465286664
Ge,8.0732643332,8.0732643332,18.8376167775
Ge,8.0732643332,2.6910881111,13.4554405554
Ge,10.7643524443,5.3821762221,10.7643524443
Ge,18.8376167775,8.0732643332,18.8376167775
Ge,16.1465286664,0.0000000000,10.7643524443
Ge,18.8376167775,2.6910881111,13.4554405554
Ge,16.1465286664,5.3821762221,16.1465286664
Ge,0.0000000000,10.7643524443,16.1465286664
Ge,2.6910881111,13.4554405554,18.8376167775
Ge,0.0000000000,16.1465286664,10.7643524443
Ge,13.4554405554,18.8376167775,13.4554405554
Ge,10.7643524443,10.7643524443,16.1465286664
Ge,13.4554405554,13.4554405554,18.8376167775
Ge,16.1465286664,10.7643524443,10.7643524443
Ge,16.1465286664,16.1465286664,16.1465286664
Sn,0.0000000000,5.3821762221,0.0000000000
Sn,8.0732643332,8.0732643332,8.0732643332
Sn,18.8376167775,8.0732643332,8.0732643332
Sn,18.8376167775,2.6910881111,2.6910881111
Sn,16.1465286664,10.7643524443,0.0000000000
Sn,18.8376167775,13.4554405554,2.6910881111
Sn,5.3821762221,0.0000000000,10.7643524443
Sn,8.0732643332,18.8376167775,18.8376167775
