ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Ge,2.7849838780,8.3549516339,2.7849838780
Ge,0.0000000000,0.0000000000,5.5699677559
Ge,2.7849838780,2.7849838780,8.3549516339
Ge,0.0000000000,5.5699677559,0.0000000000
Ge,8.3549516339,8.3549516339,8.3549516339
Ge,5.5699677559,0.0000000000,0.0000000000
Ge,8.3549516339,2.7849838780,2.7849838780
Ge,5.5699677559,5.5699677559,5.5699677559
Ge,13.9249193898,2.7849838780,8.3549516339
Ge,11.1399355118,5.5699677559,0.0000000000
Ge,19.4948871457,2.7849838780,2.7849838780
Ge,16.7099032677,5.5699677559,5.5699677559
Ge,2.7849838780,19.4948871457,2.7849838780
Ge,0.0000000000,11.1399355118,5.5699677559
Ge,0.0000000000,16.7099032677,0.0000000000
Ge,8.3549516339,19.4948871457,8.3549516339
Ge,5.5699677559,11.1399355118,0.0000000000
Ge,8.3549516339,13.9249193898,2.7849838780
Ge,5.5699677559,16.7099032677,5.5699677559
Ge,11.1399355118,11.1399355118,5.5699677559
Ge,13.9249193898,13.9249193898,8.3549516339
Ge,11.1399355118,16.7099032677,0.0000000000
Ge,19.4948871457,19.4948871457,8.3549516339
Ge,16.7099032677,11.1399355118,0.0000000000
Ge,19.4948871457,13.9249193898,2.7849838780
Ge,16.7099032677,16.7099032677,5.5699677559
Ge,0.0000000000,0.0000000000,16.7099032677
Ge,2.7849838780,2.7849838780,19.4948871457
Ge,0.0000000000,5.5699677559,11.1399355118
Ge,8.3549516339,8.3549516339,19.4948871457
Ge,8.3549516339,2.7849838780,13.9249193898
Ge,13.9249193898,8.3549516339,13.9249193898
Ge,11.1399355118,0.0000000000,16.7099032677
Ge,13.9249193898,2.7849838780,19.4948871457
Ge,19.4948871457,8.3549516339,19.4948871457
Ge,16.7099032677,0.0000000000,11.1399355118
Ge,19.4948871457,2.7849838780,13.9249193898
Ge,2.7849838780,19.4948871457,13.9249193898
Ge,0.0000000000,11.1399355118,16.7099032677
Ge,2.7849838780,13.9249193898,19.4948871457
Ge,0.0000000000,16.7099032677,11.1399355118
Ge,8.3549516339,13.9249193898,13.9249193898
Ge,5.5699677559,16.7099032677,16.7099032677
Ge,13.9249193898,19.4948871457,13.9249193898
Ge,11.1399355118,11.1399355118,16.7099032677
Ge,13.9249193898,13.9249193898,19.4948871457
Ge,11.1399355118,16.7099032677,11.1399355118
Ge,19.4948871457,13.9249193898,13.9249193898
Sn,13.9249193898,8.3549516339,2.7849838780
Sn,11.1399355118,0.0000000000,5.5699677559
Sn,19.4948871457,8.3549516339,8.3549516339
Sn,16.7099032677,0.0000000000,0.0000000000
Sn,2.7849838780,13.9249193898,8.3549516339
Sn,13.9249193898,19.4948871457,2.7849838780
Sn,2.7849838780,8.3549516339,13.9249193898
Sn,5.5699677559,0.0000000000,11.1399355118
Sn,5.5699677559,5.5699677559,16.7099032677
Sn,11.1399355118,5.5699677559,11.1399355118
Sn,16.7099032677,5.5699677559,16.7099032677
Sn,8.3549516339,19.4948871457,19.4948871457
Sn,5.5699677559,11.1399355118,11.1399355118
Sn,19.4948871457,19.4948871457,19.4948871457
Sn,16.7099032677,11.1399355118,11.1399355118
Sn,16.7099032677,16.7099032677,16.7099032677
