ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Si,2.5836099377,7.7508298130,2.5836099377
Si,0.0000000000,0.0000000000,5.1672198753
Si,2.5836099377,2.5836099377,7.7508298130
Si,0.0000000000,5.1672198753,0.0000000000
Si,7.7508298130,7.7508298130,7.7508298130
Si,7.7508298130,2.5836099377,2.5836099377
Si,5.1672198753,5.1672198753,5.1672198753
Si,12.9180496883,7.7508298130,2.5836099377
Si,10.3344397507,0.0000000000,5.1672198753
Si,12.9180496883,2.5836099377,7.7508298130
Si,10.3344397507,5.1672198753,0.0000000000
Si,18.0852695637,7.7508298130,7.7508298130
Si,15.5016596260,0.0000000000,0.0000000000
Si,18.0852695637,2.5836099377,2.5836099377
Si,15.5016596260,5.1672198753,5.1672198753
Si,0.0000000000,10.3344397507,5.1672198753
Si,2.5836099377,12.9180496883,7.7508298130
Si,0.0000000000,15.5016596260,0.0000000000
Si,7.7508298130,18.0852695637,7.7508298130
Si,5.1672198753,10.3344397507,0.0000000000
Si,7.7508298130,12.9180496883,2.5836099377
Si,5.1672198753,15.5016596260,5.1672198753
Si,12.9180496883,18.0852695637,2.5836099377
Si,10.3344397507,10.3344397507,5.1672198753
Si,12.9180496883,12.9180496883,7.7508298130
Si,18.0852695637,18.0852695637,7.7508298130
Si,15.5016596260,10.3344397507,0.0000000000
Si,18.0852695637,12.9180496883,2.5836099377
Si,15.5016596260,15.5016596260,5.1672198753
Si,2.5836099377,7.7508298130,12.9180496883
Si,2.5836099377,2.5836099377,18.0852695637
Si,0.0000000000,5.1672198753,10.3344397507
Si,7.7508298130,7.7508298130,18.0852695637
Si,5.1672198753,0.0000000000,10.3344397507
Si,7.7508298130,2.5836099377,12.9180496883
Si,12.9180496883,7.7508298130,12.9180496883
Si,10.3344397507,0.0000000000,15.5016596260
Si,10.3344397507,5.1672198753,10.3344397507
Si,18.0852695637,7.7508298130,18.0852695637
Si,15.5016596260,0.0000000000,10.3344397507
Si,18.0852695637,2.5836099377,12.9180496883
Si,15.5016596260,5.1672198753,15.5016596260
Si,2.5836099377,18.0852695637,12.9180496883
Si,0.0000000000,10.3344397507,15.5016596260
Si,2.5836099377,12.9180496883,18.0852695637
Si,0.0000000000,15.5016596260,10.3344397507
Si,7.7508298130,18.0852695637,18.0852695637
Si,5.1672198753,10.3344397507,10.3344397507
Si,7.7508298130,12.9180496883,12.9180496883
Si,12.9180496883,18.0852695637,12.9180496883
Si,10.3344397507,10.3344397507,15.5016596260
Si,12.9180496883,12.9180496883,18.0852695637
Si,10.3344397507,15.5016596260,10.3344397507
Si,18.0852695637,18.0852695637,18.0852695637
Si,15.5016596260,10.3344397507,10.3344397507
Si,15.5016596260,15.5016596260,15.5016596260
Ge,5.1672198753,0.0000000000,0.0000000000
Ge,2.5836099377,18.0852695637,2.5836099377
Ge,10.3344397507,15.5016596260,0.0000000000
Ge,0.0000000000,0.0000000000,15.5016596260
Ge,5.1672198753,5.1672198753,15.5016596260
Ge,12.9180496883,2.5836099377,18.0852695637
Ge,5.1672198753,15.5016596260,15.5016596260
Ge,18.0852695637,12.9180496883,12.9180496883
