ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Si,20.5159297930,2.9308471133,2.9308471133
Si,20.5159297930,20.5159297930,8.7925413399
Si,17.5850826797,11.7233884532,0.0000000000
Si,5.8616942266,0.0000000000,11.7233884532
Si,2.9308471133,14.6542355665,20.5159297930
Si,0.0000000000,17.5850826797,11.7233884532
Si,8.7925413399,20.5159297930,20.5159297930
Si,11.7233884532,11.7233884532,17.5850826797
Ge,2.9308471133,8.7925413399,2.9308471133
Ge,0.0000000000,0.0000000000,5.8616942266
Ge,0.0000000000,5.8616942266,0.0000000000
Ge,8.7925413399,8.7925413399,8.7925413399
Ge,5.8616942266,5.8616942266,5.8616942266
Ge,14.6542355665,2.9308471133,8.7925413399
Ge,2.9308471133,20.5159297930,2.9308471133
Ge,8.7925413399,20.5159297930,8.7925413399
Ge,8.7925413399,14.6542355665,2.9308471133
Ge,2.9308471133,8.7925413399,14.6542355665
Ge,0.0000000000,5.8616942266,11.7233884532
Ge,8.7925413399,2.9308471133,14.6542355665
Ge,5.8616942266,5.8616942266,17.5850826797
Ge,5.8616942266,11.7233884532,11.7233884532
Ge,8.7925413399,14.6542355665,14.6542355665
Ge,14.6542355665,20.5159297930,14.6542355665
Sn,2.9308471133,2.9308471133,8.7925413399
Sn,5.8616942266,0.0000000000,0.0000000000
Sn,8.7925413399,2.9308471133,2.9308471133
Sn,14.6542355665,8.7925413399,2.9308471133
Sn,11.7233884532,0.0000000000,5.8616942266
Sn,11.7233884532,5.8616942266,0.0000000000
Sn,20.5159297930,8.7925413399,8.7925413399
Sn,17.5850826797,0.0000000000,0.0000000000
Sn,17.5850826797,5.8616942266,5.8616942266
Sn,0.0000000000,11.7233884532,5.8616942266
Sn,2.9308471133,14.6542355665,8.7925413399
Sn,0.0000000000,17.5850826797,0.0000000000
Sn,5.8616942266,11.7233884532,0.0000000000
Sn,5.8616942266,17.5850826797,5.8616942266
Sn,14.6542355665,20.5159297930,2.9308471133
Sn,11.7233884532,11.7233884532,5.8616942266
Sn,14.6542355665,14.6542355665,8.7925413399
Sn,11.7233884532,17.5850826797,0.0000000000
Sn,20.5159297930,14.6542355665,2.9308471133
Sn,17.5850826797,17.5850826797,5.8616942266
Sn,0.0000000000,0.0000000000,17.5850826797
Sn,2.9308471133,2.9308471133,20.5159297930
Sn,8.7925413399,8.7925413399,20.5159297930
Sn,14.6542355665,8.7925413399,14.6542355665
Sn,11.7233884532,0.0000000000,17.5850826797
Sn,14.6542355665,2.9308471133,20.5159297930
Sn,11.7233884532,5.8616942266,11.7233884532
Sn,20.5159297930,8.7925413399,20.5159297930
Sn,17.5850826797,0.0000000000,11.7233884532
Sn,20.5159297930,2.9308471133,14.6542355665
Sn,17.5850826797,5.8616942266,17.5850826797
Sn,2.9308471133,20.5159297930,14.6542355665
Sn,0.0000000000,11.7233884532,17.5850826797
Sn,5.8616942266,17.5850826797,17.5850826797
Sn,14.6542355665,14.6542355665,20.5159297930
Sn,11.7233884532,17.5850826797,11.7233884532
Sn,20.5159297930,20.5159297930,20.5159297930
Sn,17.5850826797,11.7233884532,11.7233884532
Sn,20.5159297930,14.6542355665,14.6542355665
Sn,17.5850826797,17.5850826797,17.5850826797
