ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Si,0.0000000000,5.4884733167,0.0000000000
Si,8.2327099751,8.2327099751,8.2327099751
Si,8.2327099751,19.2096566085,8.2327099751
Si,8.2327099751,13.7211832918,2.7442366584
Si,13.7211832918,19.2096566085,2.7442366584
Si,13.7211832918,13.7211832918,8.2327099751
Si,16.4654199502,10.9769466335,0.0000000000
Si,16.4654199502,16.4654199502,5.4884733167
Si,0.0000000000,5.4884733167,10.9769466335
Si,8.2327099751,8.2327099751,19.2096566085
Si,8.2327099751,2.7442366584,13.7211832918
Si,5.4884733167,5.4884733167,16.4654199502
Si,13.7211832918,8.2327099751,13.7211832918
Si,13.7211832918,2.7442366584,19.2096566085
Si,10.9769466335,5.4884733167,10.9769466335
Si,19.2096566085,8.2327099751,19.2096566085
Si,16.4654199502,0.0000000000,10.9769466335
Si,19.2096566085,2.7442366584,13.7211832918
Si,16.4654199502,5.4884733167,16.4654199502
Si,2.7442366584,19.2096566085,13.7211832918
Si,0.0000000000,16.4654199502,10.9769466335
Si,5.4884733167,16.4654199502,16.4654199502
Si,10.9769466335,10.9769466335,16.4654199502
Si,19.2096566085,13.7211832918,13.7211832918
Ge,2.7442366584,8.2327099751,2.7442366584
Ge,0.0000000000,0.0000000000,5.4884733167
Ge,2.7442366584,2.7442366584,8.2327099751
Ge,5.4884733167,0.0000000000,0.0000000000
Ge,5.4884733167,5.4884733167,5.4884733167
Ge,13.7211832918,8.2327099751,2.7442366584
Ge,13.7211832918,2.7442366584,8.2327099751
Ge,19.2096566085,8.2327099751,8.2327099751
Ge,19.2096566085,2.7442366584,2.7442366584
Ge,16.4654199502,5.4884733167,5.4884733167
Ge,0.0000000000,10.9769466335,5.4884733167
Ge,0.0000000000,16.4654199502,0.0000000000
Ge,5.4884733167,10.9769466335,0.0000000000
Ge,5.4884733167,16.4654199502,5.4884733167
Ge,19.2096566085,19.2096566085,8.2327099751
Ge,19.2096566085,13.7211832918,2.7442366584
Ge,2.7442366584,8.2327099751,13.7211832918
Ge,5.4884733167,0.0000000000,10.9769466335
Ge,0.0000000000,10.9769466335,16.4654199502
Ge,8.2327099751,19.2096566085,19.2096566085
Ge,5.4884733167,10.9769466335,10.9769466335
Ge,13.7211832918,13.7211832918,19.2096566085
Ge,19.2096566085,19.2096566085,19.2096566085
Ge,16.4654199502,10.9769466335,10.9769466335
Sn,8.2327099751,2.7442366584,2.7442366584
Sn,10.9769466335,0.0000000000,5.4884733167
Sn,10.9769466335,5.4884733167,0.0000000000
Sn,16.4654199502,0.0000000000,0.0000000000
Sn,2.7442366584,19.2096566085,2.7442366584
Sn,2.7442366584,13.7211832918,8.2327099751
Sn,10.9769466335,10.9769466335,5.4884733167
Sn,10.9769466335,16.4654199502,0.0000000000
Sn,0.0000000000,0.0000000000,16.4654199502
Sn,2.7442366584,2.7442366584,19.2096566085
Sn,10.9769466335,0.0000000000,16.4654199502
Sn,2.7442366584,13.7211832918,19.2096566085
Sn,8.2327099751,13.7211832918,13.7211832918
Sn,13.7211832918,19.2096566085,13.7211832918
Sn,10.9769466335,16.4654199502,10.9769466335
Sn,16.4654199502,16.4654199502,16.4654199502
