ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Ge,2.8381324252,8.5143972757,2.8381324252
Ge,0.0000000000,0.0000000000,5.6762648505
Ge,0.0000000000,5.6762648505,0.0000000000
Ge,8.5143972757,8.5143972757,8.5143972757
Ge,5.6762648505,0.0000000000,0.0000000000
Ge,8.5143972757,2.8381324252,2.8381324252
Ge,5.6762648505,5.6762648505,5.6762648505
Ge,11.3525297010,0.0000000000,5.6762648505
Ge,11.3525297010,5.6762648505,0.0000000000
Ge,19.8669269767,8.5143972757,8.5143972757
Ge,17.0287945514,0.0000000000,0.0000000000
Ge,2.8381324252,19.8669269767,2.8381324252
Ge,2.8381324252,14.1906621262,8.5143972757
Ge,5.6762648505,11.3525297010,0.0000000000
Ge,14.1906621262,14.1906621262,8.5143972757
Ge,19.8669269767,19.8669269767,8.5143972757
Ge,17.0287945514,11.3525297010,0.0000000000
Ge,19.8669269767,14.1906621262,2.8381324252
Ge,17.0287945514,17.0287945514,5.6762648505
Ge,2.8381324252,8.5143972757,14.1906621262
Ge,2.8381324252,2.8381324252,19.8669269767
Ge,8.5143972757,8.5143972757,19.8669269767
Ge,8.5143972757,2.8381324252,14.1906621262
Ge,5.6762648505,5.6762648505,17.0287945514
Ge,11.3525297010,0.0000000000,17.0287945514
Ge,14.1906621262,2.8381324252,19.8669269767
Ge,19.8669269767,8.5143972757,19.8669269767
Ge,19.8669269767,2.8381324252,14.1906621262
Ge,17.0287945514,5.6762648505,17.0287945514
Ge,2.8381324252,19.8669269767,14.1906621262
Ge,2.8381324252,14.1906621262,19.8669269767
Ge,0.0000000000,17.0287945514,11.3525297010
Ge,8.5143972757,19.8669269767,19.8669269767
Ge,8.5143972757,14.1906621262,14.1906621262
Ge,14.1906621262,19.8669269767,14.1906621262
Ge,11.3525297010,11.3525297010,17.0287945514
Ge,14.1906621262,14.1906621262,19.8669269767
Ge,19.8669269767,19.8669269767,19.8669269767
Ge,17.0287945514,11.3525297010,11.3525297010
Ge,19.8669269767,14.1906621262,14.1906621262
Sn,2.8381324252,2.8381324252,8.5143972757
Sn,14.1906621262,8.5143972757,2.8381324252
Sn,14.1906621262,2.8381324252,8.5143972757
Sn,19.8669269767,2.8381324252,2.8381324252
Sn,17.0287945514,5.6762648505,5.6762648505
Sn,0.0000000000,11.3525297010,5.6762648505
Sn,0.0000000000,17.0287945514,0.0000000000
Sn,8.5143972757,19.8669269767,8.5143972757
Sn,8.5143972757,14.1906621262,2.8381324252
Sn,5.6762648505,17.0287945514,5.6762648505
Sn,14.1906621262,19.8669269767,2.8381324252
Sn,11.3525297010,11.3525297010,5.6762648505
Sn,11.3525297010,17.0287945514,0.0000000000
Sn,0.0000000000,0.0000000000,17.0287945514
Sn,0.0000000000,5.6762648505,11.3525297010
Sn,5.6762648505,0.0000000000,11.3525297010
Sn,14.1906621262,8.5143972757,14.1906621262
Sn,11.3525297010,5.6762648505,11.3525297010
Sn,17.0287945514,0.0000000000,11.3525297010
Sn,0.0000000000,11.3525297010,17.0287945514
Sn,5.6762648505,11.3525297010,11.3525297010
Sn,5.6762648505,17.0287945514,17.0287945514
Sn,11.3525297010,17.0287945514,11.3525297010
Sn,17.0287945514,17.0287945514,17.0287945514
