ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Ge,2.7318353307,8.1955059920,2.7318353307
Ge,0.0000000000,0.0000000000,5.4636706613
Ge,2.7318353307,2.7318353307,8.1955059920
Ge,0.0000000000,5.4636706613,0.0000000000
Ge,8.1955059920,8.1955059920,8.1955059920
Ge,5.4636706613,0.0000000000,0.0000000000
Ge,8.1955059920,2.7318353307,2.7318353307
Ge,13.6591766533,8.1955059920,2.7318353307
Ge,10.9273413227,0.0000000000,5.4636706613
Ge,13.6591766533,2.7318353307,8.1955059920
Ge,19.1228473146,8.1955059920,8.1955059920
Ge,16.3910119840,0.0000000000,0.0000000000
Ge,19.1228473146,2.7318353307,2.7318353307
Ge,2.7318353307,19.1228473146,2.7318353307
Ge,0.0000000000,10.9273413227,5.4636706613
Ge,2.7318353307,13.6591766533,8.1955059920
Ge,0.0000000000,16.3910119840,0.0000000000
Ge,8.1955059920,19.1228473146,8.1955059920
Ge,5.4636706613,10.9273413227,0.0000000000
Ge,8.1955059920,13.6591766533,2.7318353307
Ge,5.4636706613,16.3910119840,5.4636706613
Ge,13.6591766533,19.1228473146,2.7318353307
Ge,10.9273413227,10.9273413227,5.4636706613
Ge,13.6591766533,13.6591766533,8.1955059920
Ge,10.9273413227,16.3910119840,0.0000000000
Ge,19.1228473146,19.1228473146,8.1955059920
Ge,19.1228473146,13.6591766533,2.7318353307
Ge,16.3910119840,16.3910119840,5.4636706613
Ge,2.7318353307,8.1955059920,13.6591766533
Ge,2.7318353307,2.7318353307,19.1228473146
Ge,0.0000000000,5.4636706613,10.9273413227
Ge,8.1955059920,8.1955059920,19.1228473146
Ge,5.4636706613,0.0000000000,10.9273413227
Ge,8.1955059920,2.7318353307,13.6591766533
Ge,5.4636706613,5.4636706613,16.3910119840
Ge,13.6591766533,8.1955059920,13.6591766533
Ge,10.9273413227,0.0000000000,16.3910119840
Ge,13.6591766533,2.7318353307,19.1228473146
Ge,10.9273413227,5.4636706613,10.9273413227
Ge,16.3910119840,0.0000000000,10.9273413227
Ge,19.1228473146,2.7318353307,13.6591766533
Ge,16.3910119840,5.4636706613,16.3910119840
Ge,2.7318353307,19.1228473146,13.6591766533
Ge,0.0000000000,10.9273413227,16.3910119840
Ge,2.7318353307,13.6591766533,19.1228473146
Ge,0.0000000000,16.3910119840,10.9273413227
Ge,8.1955059920,19.1228473146,19.1228473146
Ge,8.1955059920,13.6591766533,13.6591766533
Ge,5.4636706613,16.3910119840,16.3910119840
Ge,13.6591766533,19.1228473146,13.6591766533
Ge,13.6591766533,13.6591766533,19.1228473146
Ge,10.9273413227,16.3910119840,10.9273413227
Ge,19.1228473146,19.1228473146,19.1228473146
Ge,16.3910119840,10.9273413227,10.9273413227
Ge,19.1228473146,13.6591766533,13.6591766533
Ge,16.3910119840,16.3910119840,16.3910119840
Sn,5.4636706613,5.4636706613,5.4636706613
Sn,10.9273413227,5.4636706613,0.0000000000
Sn,16.3910119840,5.4636706613,5.4636706613
Sn,16.3910119840,10.9273413227,0.0000000000
Sn,0.0000000000,0.0000000000,16.3910119840
Sn,19.1228473146,8.1955059920,19.1228473146
Sn,5.4636706613,10.9273413227,10.9273413227
Sn,10.9273413227,10.9273413227,16.3910119840
