ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Si,2.6367584850,7.9102754549,2.6367584850
Si,0.0000000000,0.0000000000,5.2735169699
Si,2.6367584850,2.6367584850,7.9102754549
Si,0.0000000000,5.2735169699,0.0000000000
Si,7.9102754549,7.9102754549,7.9102754549
Si,5.2735169699,0.0000000000,0.0000000000
Si,7.9102754549,2.6367584850,2.6367584850
Si,5.2735169699,5.2735169699,5.2735169699
Si,13.1837924248,7.9102754549,2.6367584850
Si,10.5470339398,0.0000000000,5.2735169699
Si,13.1837924248,2.6367584850,7.9102754549
Si,10.5470339398,5.2735169699,0.0000000000
Si,18.4573093947,7.9102754549,7.9102754549
Si,15.8205509097,0.0000000000,0.0000000000
Si,18.4573093947,2.6367584850,2.6367584850
Si,15.8205509097,5.2735169699,5.2735169699
Si,2.6367584850,18.4573093947,2.6367584850
Si,0.0000000000,10.5470339398,5.2735169699
Si,2.6367584850,13.1837924248,7.9102754549
Si,7.9102754549,13.1837924248,2.6367584850
Si,5.2735169699,15.8205509097,5.2735169699
Si,13.1837924248,18.4573093947,2.6367584850
Si,10.5470339398,10.5470339398,5.2735169699
Si,10.5470339398,15.8205509097,0.0000000000
Si,18.4573093947,18.4573093947,7.9102754549
Si,18.4573093947,13.1837924248,2.6367584850
Si,15.8205509097,15.8205509097,5.2735169699
Si,0.0000000000,0.0000000000,15.8205509097
Si,2.6367584850,2.6367584850,18.4573093947
Si,7.9102754549,7.9102754549,18.4573093947
Si,5.2735169699,0.0000000000,10.5470339398
Si,7.9102754549,2.6367584850,13.1837924248
Si,5.2735169699,5.2735169699,15.8205509097
Si,13.1837924248,7.9102754549,13.1837924248
Si,10.5470339398,0.0000000000,15.8205509097
Si,13.1837924248,2.6367584850,18.4573093947
Si,10.5470339398,5.2735169699,10.5470339398
Si,18.4573093947,7.9102754549,18.4573093947
Si,15.8205509097,0.0000000000,10.5470339398
Si,18.4573093947,2.6367584850,13.1837924248
Si,15.8205509097,5.2735169699,15.8205509097
Si,2.6367584850,18.4573093947,13.1837924248
Si,0.0000000000,10.5470339398,15.8205509097
Si,2.6367584850,13.1837924248,18.4573093947
Si,0.0000000000,15.8205509097,10.5470339398
Si,7.9102754549,18.4573093947,18.4573093947
Si,5.2735169699,10.5470339398,10.5470339398
Si,7.9102754549,13.1837924248,13.1837924248
Si,5.2735169699,15.8205509097,15.8205509097
Si,13.1837924248,18.4573093947,13.1837924248
Si,10.5470339398,10.5470339398,15.8205509097
Si,13.1837924248,13.1837924248,18.4573093947
Si,10.5470339398,15.8205509097,10.5470339398
Si,15.8205509097,10.5470339398,10.5470339398
Si,18.4573093947,13.1837924248,13.1837924248
Si,15.8205509097,15.8205509097,15.8205509097
Sn,0.0000000000,15.8205509097,0.0000000000
Sn,7.9102754549,18.4573093947,7.9102754549
Sn,5.2735169699,10.5470339398,0.0000000000
Sn,13.1837924248,13.1837924248,7.9102754549
Sn,15.8205509097,10.5470339398,0.0000000000
Sn,2.6367584850,7.9102754549,13.1837924248
Sn,0.0000000000,5.2735169699,10.5470339398
Sn,18.4573093947,18.4573093947,18.4573093947
