ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Si,0.0000000000,0.0000000000,5.9408265081
Si,14.8520662702,8.9112397621,2.9704132540
Si,17.8224795243,0.0000000000,0.0000000000
Si,0.0000000000,11.8816530162,5.9408265081
Si,11.8816530162,11.8816530162,5.9408265081
Si,14.8520662702,14.8520662702,8.9112397621
Si,2.9704132540,8.9112397621,14.8520662702
Si,14.8520662702,8.9112397621,14.8520662702
Si,17.8224795243,0.0000000000,11.8816530162
Si,0.0000000000,11.8816530162,17.8224795243
Si,8.9112397621,20.7928927783,20.7928927783
Si,14.8520662702,20.7928927783,14.8520662702
Si,11.8816530162,11.8816530162,17.8224795243
Si,14.8520662702,14.8520662702,20.7928927783
Si,20.7928927783,20.7928927783,20.7928927783
Si,20.7928927783,14.8520662702,14.8520662702
Sn,2.9704132540,8.9112397621,2.9704132540
Sn,2.9704132540,2.9704132540,8.9112397621
Sn,0.0000000000,5.9408265081,0.0000000000
Sn,8.9112397621,8.9112397621,8.9112397621
Sn,5.9408265081,0.0000000000,0.0000000000
Sn,8.9112397621,2.9704132540,2.9704132540
Sn,5.9408265081,5.9408265081,5.9408265081
Sn,11.8816530162,0.0000000000,5.9408265081
Sn,14.8520662702,2.9704132540,8.9112397621
Sn,11.8816530162,5.9408265081,0.0000000000
Sn,20.7928927783,8.9112397621,8.9112397621
Sn,20.7928927783,2.9704132540,2.9704132540
Sn,17.8224795243,5.9408265081,5.9408265081
Sn,2.9704132540,20.7928927783,2.9704132540
Sn,2.9704132540,14.8520662702,8.9112397621
Sn,0.0000000000,17.8224795243,0.0000000000
Sn,8.9112397621,20.7928927783,8.9112397621
Sn,5.9408265081,11.8816530162,0.0000000000
Sn,8.9112397621,14.8520662702,2.9704132540
Sn,5.9408265081,17.8224795243,5.9408265081
Sn,14.8520662702,20.7928927783,2.9704132540
Sn,11.8816530162,17.8224795243,0.0000000000
Sn,20.7928927783,20.7928927783,8.9112397621
Sn,17.8224795243,11.8816530162,0.0000000000
Sn,20.7928927783,14.8520662702,2.9704132540
Sn,17.8224795243,17.8224795243,5.9408265081
Sn,0.0000000000,0.0000000000,17.8224795243
Sn,2.9704132540,2.9704132540,20.7928927783
Sn,0.0000000000,5.9408265081,11.8816530162
Sn,8.9112397621,8.9112397621,20.7928927783
Sn,5.9408265081,0.0000000000,11.8816530162
Sn,8.9112397621,2.9704132540,14.8520662702
Sn,5.9408265081,5.9408265081,17.8224795243
Sn,11.8816530162,0.0000000000,17.8224795243
Sn,14.8520662702,2.9704132540,20.7928927783
Sn,11.8816530162,5.9408265081,11.8816530162
Sn,20.7928927783,8.9112397621,20.7928927783
Sn,20.7928927783,2.9704132540,14.8520662702
Sn,17.8224795243,5.9408265081,17.8224795243
Sn,2.9704132540,20.7928927783,14.8520662702
Sn,2.9704132540,14.8520662702,20.7928927783
Sn,0.0000000000,17.8224795243,11.8816530162
Sn,5.9408265081,11.8816530162,11.8816530162
Sn,8.9112397621,14.8520662702,14.8520662702
Sn,5.9408265081,17.8224795243,17.8224795243
Sn,11.8816530162,17.8224795243,11.8816530162
Sn,17.8224795243,11.8816530162,11.8816530162
Sn,17.8224795243,17.8224795243,17.8224795243
