ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Ge,2.9444295198,2.9444295198,8.8332885595
Ge,14.7221475991,2.9444295198,8.8332885595
Ge,20.6110066387,2.9444295198,2.9444295198
Ge,2.9444295198,20.6110066387,2.9444295198
Ge,2.9444295198,14.7221475991,8.8332885595
Ge,0.0000000000,17.6665771189,0.0000000000
Ge,11.7777180793,11.7777180793,5.8888590396
Ge,14.7221475991,14.7221475991,8.8332885595
Ge,11.7777180793,17.6665771189,0.0000000000
Ge,17.6665771189,11.7777180793,0.0000000000
Ge,17.6665771189,17.6665771189,5.8888590396
Ge,2.9444295198,8.8332885595,14.7221475991
Ge,0.0000000000,0.0000000000,17.6665771189
Ge,2.9444295198,2.9444295198,20.6110066387
Ge,5.8888590396,0.0000000000,11.7777180793
Ge,11.7777180793,0.0000000000,17.6665771189
Ge,20.6110066387,8.8332885595,20.6110066387
Ge,17.6665771189,5.8888590396,17.6665771189
Ge,0.0000000000,11.7777180793,17.6665771189
Ge,0.0000000000,17.6665771189,11.7777180793
Ge,8.8332885595,20.6110066387,20.6110066387
Ge,8.8332885595,14.7221475991,14.7221475991
Ge,5.8888590396,17.6665771189,17.6665771189
Ge,20.6110066387,20.6110066387,20.6110066387
Sn,2.9444295198,8.8332885595,2.9444295198
Sn,0.0000000000,0.0000000000,5.8888590396
Sn,0.0000000000,5.8888590396,0.0000000000
Sn,8.8332885595,8.8332885595,8.8332885595
Sn,5.8888590396,0.0000000000,0.0000000000
Sn,8.8332885595,2.9444295198,2.9444295198
Sn,5.8888590396,5.8888590396,5.8888590396
Sn,14.7221475991,8.8332885595,2.9444295198
Sn,11.7777180793,0.0000000000,5.8888590396
Sn,11.7777180793,5.8888590396,0.0000000000
Sn,20.6110066387,8.8332885595,8.8332885595
Sn,17.6665771189,0.0000000000,0.0000000000
Sn,17.6665771189,5.8888590396,5.8888590396
Sn,0.0000000000,11.7777180793,5.8888590396
Sn,8.8332885595,20.6110066387,8.8332885595
Sn,5.8888590396,11.7777180793,0.0000000000
Sn,8.8332885595,14.7221475991,2.9444295198
Sn,5.8888590396,17.6665771189,5.8888590396
Sn,14.7221475991,20.6110066387,2.9444295198
Sn,20.6110066387,20.6110066387,8.8332885595
Sn,20.6110066387,14.7221475991,2.9444295198
Sn,0.0000000000,5.8888590396,11.7777180793
Sn,8.8332885595,8.8332885595,20.6110066387
Sn,8.8332885595,2.9444295198,14.7221475991
Sn,5.8888590396,5.8888590396,17.6665771189
Sn,14.7221475991,8.8332885595,14.7221475991
Sn,14.7221475991,2.9444295198,20.6110066387
Sn,11.7777180793,5.8888590396,11.7777180793
Sn,17.6665771189,0.0000000000,11.7777180793
Sn,20.6110066387,2.9444295198,14.7221475991
Sn,2.9444295198,20.6110066387,14.7221475991
Sn,2.9444295198,14.7221475991,20.6110066387
Sn,5.8888590396,11.7777180793,11.7777180793
Sn,14.7221475991,20.6110066387,14.7221475991
Sn,11.7777180793,11.7777180793,17.6665771189
Sn,14.7221475991,14.7221475991,20.6110066387
Sn,11.7777180793,17.6665771189,11.7777180793
Sn,17.6665771189,11.7777180793,11.7777180793
Sn,20.6110066387,14.7221475991,14.7221475991
Sn,17.6665771189,17.6665771189,17.6665771189
