ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Si,0.0000000000,16.3095175448,0.0000000000
Si,13.5912646207,13.5912646207,8.1547587724
Si,2.7182529241,8.1547587724,13.5912646207
Si,5.4365058483,5.4365058483,16.3095175448
Si,16.3095175448,0.0000000000,10.8730116965
Si,5.4365058483,10.8730116965,10.8730116965
Si,19.0277704689,19.0277704689,19.0277704689
Si,16.3095175448,16.3095175448,16.3095175448
Ge,0.0000000000,0.0000000000,5.4365058483
Ge,0.0000000000,5.4365058483,0.0000000000
Ge,8.1547587724,8.1547587724,8.1547587724
Ge,5.4365058483,0.0000000000,0.0000000000
Ge,8.1547587724,2.7182529241,2.7182529241
Ge,5.4365058483,5.4365058483,5.4365058483
Ge,13.5912646207,8.1547587724,2.7182529241
Ge,10.8730116965,0.0000000000,5.4365058483
Ge,13.5912646207,2.7182529241,8.1547587724
Ge,10.8730116965,5.4365058483,0.0000000000
Ge,19.0277704689,8.1547587724,8.1547587724
Ge,16.3095175448,0.0000000000,0.0000000000
Ge,19.0277704689,2.7182529241,2.7182529241
Ge,16.3095175448,5.4365058483,5.4365058483
Ge,2.7182529241,19.0277704689,2.7182529241
Ge,0.0000000000,10.8730116965,5.4365058483
Ge,2.7182529241,13.5912646207,8.1547587724
Ge,8.1547587724,19.0277704689,8.1547587724
Ge,5.4365058483,10.8730116965,0.0000000000
Ge,8.1547587724,13.5912646207,2.7182529241
Ge,5.4365058483,16.3095175448,5.4365058483
Ge,13.5912646207,19.0277704689,2.7182529241
Ge,10.8730116965,16.3095175448,0.0000000000
Ge,19.0277704689,19.0277704689,8.1547587724
Ge,16.3095175448,10.8730116965,0.0000000000
Ge,19.0277704689,13.5912646207,2.7182529241
Ge,0.0000000000,0.0000000000,16.3095175448
Ge,0.0000000000,5.4365058483,10.8730116965
Ge,8.1547587724,8.1547587724,19.0277704689
Ge,5.4365058483,0.0000000000,10.8730116965
Ge,13.5912646207,8.1547587724,13.5912646207
Ge,10.8730116965,0.0000000000,16.3095175448
Ge,13.5912646207,2.7182529241,19.0277704689
Ge,10.8730116965,5.4365058483,10.8730116965
Ge,19.0277704689,8.1547587724,19.0277704689
Ge,19.0277704689,2.7182529241,13.5912646207
Ge,16.3095175448,5.4365058483,16.3095175448
Ge,2.7182529241,19.0277704689,13.5912646207
Ge,0.0000000000,10.8730116965,16.3095175448
Ge,0.0000000000,16.3095175448,10.8730116965
Ge,8.1547587724,19.0277704689,19.0277704689
Ge,8.1547587724,13.5912646207,13.5912646207
Ge,5.4365058483,16.3095175448,16.3095175448
Ge,13.5912646207,19.0277704689,13.5912646207
Ge,10.8730116965,10.8730116965,16.3095175448
Ge,13.5912646207,13.5912646207,19.0277704689
Ge,16.3095175448,10.8730116965,10.8730116965
Ge,19.0277704689,13.5912646207,13.5912646207
Sn,2.7182529241,8.1547587724,2.7182529241
Sn,2.7182529241,2.7182529241,8.1547587724
Sn,10.8730116965,10.8730116965,5.4365058483
Sn,16.3095175448,16.3095175448,5.4365058483
Sn,2.7182529241,2.7182529241,19.0277704689
Sn,8.1547587724,2.7182529241,13.5912646207
Sn,2.7182529241,13.5912646207,19.0277704689
Sn,10.8730116965,16.3095175448,10.8730116965
