ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Si,0.0000000000,0.0000000000,5.6491000374
Si,11.2982000748,0.0000000000,5.6491000374
Si,16.9473001123,5.6491000374,5.6491000374
Si,8.4736500561,19.7718501310,8.4736500561
Si,11.2982000748,16.9473001123,0.0000000000
Si,19.7718501310,8.4736500561,19.7718501310
Si,11.2982000748,11.2982000748,16.9473001123
Si,16.9473001123,16.9473001123,16.9473001123
Ge,2.8245500187,8.4736500561,2.8245500187
Ge,0.0000000000,5.6491000374,0.0000000000
Ge,8.4736500561,8.4736500561,8.4736500561
Ge,5.6491000374,0.0000000000,0.0000000000
Ge,8.4736500561,2.8245500187,2.8245500187
Ge,14.1227500936,8.4736500561,2.8245500187
Ge,14.1227500936,2.8245500187,8.4736500561
Ge,19.7718501310,8.4736500561,8.4736500561
Ge,16.9473001123,0.0000000000,0.0000000000
Ge,2.8245500187,19.7718501310,2.8245500187
Ge,0.0000000000,11.2982000748,5.6491000374
Ge,2.8245500187,14.1227500936,8.4736500561
Ge,5.6491000374,16.9473001123,5.6491000374
Ge,14.1227500936,14.1227500936,8.4736500561
Ge,16.9473001123,11.2982000748,0.0000000000
Ge,16.9473001123,16.9473001123,5.6491000374
Ge,2.8245500187,2.8245500187,19.7718501310
Ge,0.0000000000,5.6491000374,11.2982000748
Ge,5.6491000374,5.6491000374,16.9473001123
Ge,14.1227500936,8.4736500561,14.1227500936
Ge,11.2982000748,0.0000000000,16.9473001123
Ge,16.9473001123,0.0000000000,11.2982000748
Ge,19.7718501310,2.8245500187,14.1227500936
Ge,16.9473001123,5.6491000374,16.9473001123
Ge,0.0000000000,11.2982000748,16.9473001123
Ge,0.0000000000,16.9473001123,11.2982000748
Ge,8.4736500561,19.7718501310,19.7718501310
Ge,5.6491000374,16.9473001123,16.9473001123
Ge,14.1227500936,19.7718501310,14.1227500936
Ge,14.1227500936,14.1227500936,19.7718501310
Ge,11.2982000748,16.9473001123,11.2982000748
Ge,19.7718501310,14.1227500936,14.1227500936
Sn,2.8245500187,2.8245500187,8.4736500561
Sn,5.6491000374,5.6491000374,5.6491000374
Sn,11.2982000748,5.6491000374,0.0000000000
Sn,19.7718501310,2.8245500187,2.8245500187
Sn,0.0000000000,16.9473001123,0.0000000000
Sn,5.6491000374,11.2982000748,0.0000000000
Sn,8.4736500561,14.1227500936,2.8245500187
Sn,14.1227500936,19.7718501310,2.8245500187
Sn,11.2982000748,11.2982000748,5.6491000374
Sn,19.7718501310,19.7718501310,8.4736500561
Sn,19.7718501310,14.1227500936,2.8245500187
Sn,2.8245500187,8.4736500561,14.1227500936
Sn,0.0000000000,0.0000000000,16.9473001123
Sn,8.4736500561,8.4736500561,19.7718501310
Sn,5.6491000374,0.0000000000,11.2982000748
Sn,8.4736500561,2.8245500187,14.1227500936
Sn,14.1227500936,2.8245500187,19.7718501310
Sn,11.2982000748,5.6491000374,11.2982000748
Sn,2.8245500187,19.7718501310,14.1227500936
Sn,2.8245500187,14.1227500936,19.7718501310
Sn,5.6491000374,11.2982000748,11.2982000748
Sn,8.4736500561,14.1227500936,14.1227500936
Sn,19.7718501310,19.7718501310,19.7718501310
Sn,16.9473001123,11.2982000748,11.2982000748
