ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Ge,2.6786867834,8.0360603501,2.6786867834
Ge,0.0000000000,0.0000000000,5.3573735667
Ge,2.6786867834,2.6786867834,8.0360603501
Ge,0.0000000000,5.3573735667,0.0000000000
Ge,8.0360603501,8.0360603501,8.0360603501
Ge,5.3573735667,0.0000000000,0.0000000000
Ge,8.0360603501,2.6786867834,2.6786867834
Ge,5.3573735667,5.3573735667,5.3573735667
Ge,13.3934339169,8.0360603501,2.6786867834
Ge,10.7147471335,0.0000000000,5.3573735667
Ge,13.3934339169,2.6786867834,8.0360603501
Ge,10.7147471335,5.3573735667,0.0000000000
Ge,18.7508074836,8.0360603501,8.0360603501
Ge,16.0721207002,0.0000000000,0.0000000000
Ge,18.7508074836,2.6786867834,2.6786867834
Ge,16.0721207002,5.3573735667,5.3573735667
Ge,2.6786867834,18.7508074836,2.6786867834
Ge,0.0000000000,10.7147471335,5.3573735667
Ge,2.6786867834,13.3934339169,8.0360603501
Ge,0.0000000000,16.0721207002,0.0000000000
Ge,8.0360603501,18.7508074836,8.0360603501
Ge,5.3573735667,10.7147471335,0.0000000000
Ge,8.0360603501,13.3934339169,2.6786867834
Ge,5.3573735667,16.0721207002,5.3573735667
Ge,13.3934339169,18.7508074836,2.6786867834
Ge,10.7147471335,10.7147471335,5.3573735667
Ge,13.3934339169,13.3934339169,8.0360603501
Ge,10.7147471335,16.0721207002,0.0000000000
Ge,18.7508074836,18.7508074836,8.0360603501
Ge,16.0721207002,10.7147471335,0.0000000000
Ge,18.7508074836,13.3934339169,2.6786867834
Ge,16.0721207002,16.0721207002,5.3573735667
Ge,2.6786867834,8.0360603501,13.3934339169
Ge,0.0000000000,0.0000000000,16.0721207002
Ge,2.6786867834,2.6786867834,18.7508074836
Ge,0.0000000000,5.3573735667,10.7147471335
Ge,8.0360603501,8.0360603501,18.7508074836
Ge,5.3573735667,0.0000000000,10.7147471335
Ge,8.0360603501,2.6786867834,13.3934339169
Ge,5.3573735667,5.3573735667,16.0721207002
Ge,13.3934339169,8.0360603501,13.3934339169
Ge,10.7147471335,0.0000000000,16.0721207002
Ge,13.3934339169,2.6786867834,18.7508074836
Ge,10.7147471335,5.3573735667,10.7147471335
Ge,18.7508074836,8.0360603501,18.7508074836
Ge,16.0721207002,0.0000000000,10.7147471335
Ge,18.7508074836,2.6786867834,13.3934339169
Ge,16.0721207002,5.3573735667,16.0721207002
Ge,2.6786867834,18.7508074836,13.3934339169
Ge,0.0000000000,10.7147471335,16.0721207002
Ge,2.6786867834,13.3934339169,18.7508074836
Ge,0.0000000000,16.0721207002,10.7147471335
Ge,8.0360603501,18.7508074836,18.7508074836
Ge,5.3573735667,10.7147471335,10.7147471335
Ge,8.0360603501,13.3934339169,13.3934339169
Ge,5.3573735667,16.0721207002,16.0721207002
Ge,13.3934339169,18.7508074836,13.3934339169
Ge,10.7147471335,10.7147471335,16.0721207002
Ge,13.3934339169,13.3934339169,18.7508074836
Ge,10.7147471335,16.0721207002,10.7147471335
Ge,18.7508074836,18.7508074836,18.7508074836
Ge,16.0721207002,10.7147471335,10.7147471335
Ge,18.7508074836,13.3934339169,13.3934339169
Ge,16.0721207002,16.0721207002,16.0721207002
