ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Si,0.0000000000,5.9679913212,0.0000000000
Si,14.9199783029,2.9839956606,8.9519869817
Si,11.9359826423,11.9359826423,5.9679913212
Si,2.9839956606,2.9839956606,20.8879696241
Si,8.9519869817,8.9519869817,20.8879696241
Si,14.9199783029,2.9839956606,20.8879696241
Si,11.9359826423,5.9679913212,11.9359826423
Si,20.8879696241,8.9519869817,20.8879696241
Ge,5.9679913212,0.0000000000,0.0000000000
Ge,14.9199783029,8.9519869817,2.9839956606
Ge,11.9359826423,5.9679913212,0.0000000000
Ge,8.9519869817,2.9839956606,14.9199783029
Ge,5.9679913212,5.9679913212,17.9039739635
Ge,11.9359826423,0.0000000000,17.9039739635
Ge,5.9679913212,11.9359826423,11.9359826423
Ge,17.9039739635,11.9359826423,11.9359826423
Sn,2.9839956606,8.9519869817,2.9839956606
Sn,0.0000000000,0.0000000000,5.9679913212
Sn,2.9839956606,2.9839956606,8.9519869817
Sn,8.9519869817,8.9519869817,8.9519869817
Sn,8.9519869817,2.9839956606,2.9839956606
Sn,5.9679913212,5.9679913212,5.9679913212
Sn,11.9359826423,0.0000000000,5.9679913212
Sn,20.8879696241,8.9519869817,8.9519869817
Sn,17.9039739635,0.0000000000,0.0000000000
Sn,20.8879696241,2.9839956606,2.9839956606
Sn,17.9039739635,5.9679913212,5.9679913212
Sn,2.9839956606,20.8879696241,2.9839956606
Sn,0.0000000000,11.9359826423,5.9679913212
Sn,2.9839956606,14.9199783029,8.9519869817
Sn,0.0000000000,17.9039739635,0.0000000000
Sn,8.9519869817,20.8879696241,8.9519869817
Sn,5.9679913212,11.9359826423,0.0000000000
Sn,8.9519869817,14.9199783029,2.9839956606
Sn,5.9679913212,17.9039739635,5.9679913212
Sn,14.9199783029,20.8879696241,2.9839956606
Sn,14.9199783029,14.9199783029,8.9519869817
Sn,11.9359826423,17.9039739635,0.0000000000
Sn,20.8879696241,20.8879696241,8.9519869817
Sn,17.9039739635,11.9359826423,0.0000000000
Sn,20.8879696241,14.9199783029,2.9839956606
Sn,17.9039739635,17.9039739635,5.9679913212
Sn,2.9839956606,8.9519869817,14.9199783029
Sn,0.0000000000,0.0000000000,17.9039739635
Sn,0.0000000000,5.9679913212,11.9359826423
Sn,5.9679913212,0.0000000000,11.9359826423
Sn,14.9199783029,8.9519869817,14.9199783029
Sn,17.9039739635,0.0000000000,11.9359826423
Sn,20.8879696241,2.9839956606,14.9199783029
Sn,17.9039739635,5.9679913212,17.9039739635
Sn,2.9839956606,20.8879696241,14.9199783029
Sn,0.0000000000,11.9359826423,17.9039739635
Sn,2.9839956606,14.9199783029,20.8879696241
Sn,0.0000000000,17.9039739635,11.9359826423
Sn,8.9519869817,20.8879696241,20.8879696241
Sn,8.9519869817,14.9199783029,14.9199783029
Sn,5.9679913212,17.9039739635,17.9039739635
Sn,14.9199783029,20.8879696241,14.9199783029
Sn,11.9359826423,11.9359826423,17.9039739635
Sn,14.9199783029,14.9199783029,20.8879696241
Sn,11.9359826423,17.9039739635,11.9359826423
Sn,20.8879696241,20.8879696241,20.8879696241
Sn,20.8879696241,14.9199783029,14.9199783029
Sn,17.9039739635,17.9039739635,17.9039739635
