ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Si,2.8369513464,8.5108540392,2.8369513464
Si,0.0000000000,5.6739026928,0.0000000000
Si,8.5108540392,8.5108540392,8.5108540392
Si,8.5108540392,2.8369513464,2.8369513464
Si,19.8586594249,8.5108540392,8.5108540392
Si,17.0217080785,0.0000000000,0.0000000000
Si,2.8369513464,19.8586594249,2.8369513464
Si,0.0000000000,11.3478053857,5.6739026928
Si,8.5108540392,14.1847567321,2.8369513464
Si,14.1847567321,19.8586594249,2.8369513464
Si,11.3478053857,17.0217080785,0.0000000000
Si,19.8586594249,19.8586594249,8.5108540392
Si,19.8586594249,14.1847567321,2.8369513464
Si,17.0217080785,17.0217080785,5.6739026928
Si,2.8369513464,2.8369513464,19.8586594249
Si,0.0000000000,5.6739026928,11.3478053857
Si,5.6739026928,0.0000000000,11.3478053857
Si,14.1847567321,8.5108540392,14.1847567321
Si,14.1847567321,2.8369513464,19.8586594249
Si,11.3478053857,5.6739026928,11.3478053857
Si,19.8586594249,8.5108540392,19.8586594249
Si,17.0217080785,0.0000000000,11.3478053857
Si,2.8369513464,19.8586594249,14.1847567321
Si,0.0000000000,11.3478053857,17.0217080785
Si,0.0000000000,17.0217080785,11.3478053857
Si,5.6739026928,11.3478053857,11.3478053857
Si,8.5108540392,14.1847567321,14.1847567321
Si,5.6739026928,17.0217080785,17.0217080785
Si,14.1847567321,19.8586594249,14.1847567321
Si,19.8586594249,19.8586594249,19.8586594249
Si,19.8586594249,14.1847567321,14.1847567321
Si,17.0217080785,17.0217080785,17.0217080785
Sn,0.0000000000,0.0000000000,5.6739026928
Sn,2.8369513464,2.8369513464,8.5108540392
Sn,5.6739026928,0.0000000000,0.0000000000
Sn,5.6739026928,5.6739026928,5.6739026928
Sn,14.1847567321,8.5108540392,2.8369513464
Sn,11.3478053857,0.0000000000,5.6739026928
Sn,14.1847567321,2.8369513464,8.5108540392
Sn,11.3478053857,5.6739026928,0.0000000000
Sn,19.8586594249,2.8369513464,2.8369513464
Sn,17.0217080785,5.6739026928,5.6739026928
Sn,2.8369513464,14.1847567321,8.5108540392
Sn,0.0000000000,17.0217080785,0.0000000000
Sn,8.5108540392,19.8586594249,8.5108540392
Sn,5.6739026928,11.3478053857,0.0000000000
Sn,5.6739026928,17.0217080785,5.6739026928
Sn,11.3478053857,11.3478053857,5.6739026928
Sn,14.1847567321,14.1847567321,8.5108540392
Sn,17.0217080785,11.3478053857,0.0000000000
Sn,2.8369513464,8.5108540392,14.1847567321
Sn,0.0000000000,0.0000000000,17.0217080785
Sn,8.5108540392,8.5108540392,19.8586594249
Sn,8.5108540392,2.8369513464,14.1847567321
Sn,5.6739026928,5.6739026928,17.0217080785
Sn,11.3478053857,0.0000000000,17.0217080785
Sn,19.8586594249,2.8369513464,14.1847567321
Sn,17.0217080785,5.6739026928,17.0217080785
Sn,2.8369513464,14.1847567321,19.8586594249
Sn,8.5108540392,19.8586594249,19.8586594249
Sn,11.3478053857,11.3478053857,17.0217080785
Sn,14.1847567321,14.1847567321,19.8586594249
Sn,11.3478053857,17.0217080785,11.3478053857
Sn,17.0217080785,11.3478053857,11.3478053857
