ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Si,2.7838027991,2.7838027991,8.3514083974
Si,8.3514083974,8.3514083974,8.3514083974
Si,5.5676055982,0.0000000000,0.0000000000
Si,5.5676055982,5.5676055982,5.5676055982
Si,13.9190139956,8.3514083974,2.7838027991
Si,11.1352111965,5.5676055982,0.0000000000
Si,16.7028167947,0.0000000000,0.0000000000
Si,16.7028167947,5.5676055982,5.5676055982
Si,2.7838027991,19.4866195939,2.7838027991
Si,0.0000000000,11.1352111965,5.5676055982
Si,5.5676055982,16.7028167947,5.5676055982
Si,13.9190139956,19.4866195939,2.7838027991
Si,11.1352111965,11.1352111965,5.5676055982
Si,13.9190139956,13.9190139956,8.3514083974
Si,11.1352111965,16.7028167947,0.0000000000
Si,19.4866195939,19.4866195939,8.3514083974
Si,2.7838027991,8.3514083974,13.9190139956
Si,0.0000000000,5.5676055982,11.1352111965
Si,8.3514083974,8.3514083974,19.4866195939
Si,8.3514083974,2.7838027991,13.9190139956
Si,5.5676055982,5.5676055982,16.7028167947
Si,13.9190139956,8.3514083974,13.9190139956
Si,11.1352111965,0.0000000000,16.7028167947
Si,13.9190139956,2.7838027991,19.4866195939
Si,16.7028167947,5.5676055982,16.7028167947
Si,2.7838027991,19.4866195939,13.9190139956
Si,5.5676055982,11.1352111965,11.1352111965
Si,8.3514083974,13.9190139956,13.9190139956
Si,11.1352111965,11.1352111965,16.7028167947
Si,13.9190139956,13.9190139956,19.4866195939
Si,11.1352111965,16.7028167947,11.1352111965
Si,19.4866195939,13.9190139956,13.9190139956
Ge,19.4866195939,8.3514083974,8.3514083974
Ge,8.3514083974,19.4866195939,8.3514083974
Ge,5.5676055982,11.1352111965,0.0000000000
Ge,16.7028167947,16.7028167947,5.5676055982
Ge,2.7838027991,2.7838027991,19.4866195939
Ge,5.5676055982,0.0000000000,11.1352111965
Ge,11.1352111965,5.5676055982,11.1352111965
Ge,2.7838027991,13.9190139956,19.4866195939
Sn,2.7838027991,8.3514083974,2.7838027991
Sn,0.0000000000,0.0000000000,5.5676055982
Sn,0.0000000000,5.5676055982,0.0000000000
Sn,8.3514083974,2.7838027991,2.7838027991
Sn,11.1352111965,0.0000000000,5.5676055982
Sn,13.9190139956,2.7838027991,8.3514083974
Sn,19.4866195939,2.7838027991,2.7838027991
Sn,2.7838027991,13.9190139956,8.3514083974
Sn,0.0000000000,16.7028167947,0.0000000000
Sn,8.3514083974,13.9190139956,2.7838027991
Sn,16.7028167947,11.1352111965,0.0000000000
Sn,19.4866195939,13.9190139956,2.7838027991
Sn,0.0000000000,0.0000000000,16.7028167947
Sn,19.4866195939,8.3514083974,19.4866195939
Sn,16.7028167947,0.0000000000,11.1352111965
Sn,19.4866195939,2.7838027991,13.9190139956
Sn,0.0000000000,11.1352111965,16.7028167947
Sn,0.0000000000,16.7028167947,11.1352111965
Sn,8.3514083974,19.4866195939,19.4866195939
Sn,5.5676055982,16.7028167947,16.7028167947
Sn,13.9190139956,19.4866195939,13.9190139956
Sn,19.4866195939,19.4866195939,19.4866195939
Sn,16.7028167947,11.1352111965,11.1352111965
Sn,16.7028167947,16.7028167947,16.7028167947
