ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Si,0.0000000000,0.0000000000,5.3006817830
Si,0.0000000000,5.3006817830,0.0000000000
Si,5.3006817830,5.3006817830,5.3006817830
Si,13.2517044574,7.9510226745,2.6503408915
Si,10.6013635659,0.0000000000,5.3006817830
Si,13.2517044574,2.6503408915,7.9510226745
Si,10.6013635659,5.3006817830,0.0000000000
Si,15.9020453489,0.0000000000,0.0000000000
Si,18.5523862404,2.6503408915,2.6503408915
Si,15.9020453489,5.3006817830,5.3006817830
Si,2.6503408915,18.5523862404,2.6503408915
Si,0.0000000000,10.6013635659,5.3006817830
Si,2.6503408915,13.2517044574,7.9510226745
Si,7.9510226745,18.5523862404,7.9510226745
Si,5.3006817830,10.6013635659,0.0000000000
Si,7.9510226745,13.2517044574,2.6503408915
Si,13.2517044574,18.5523862404,2.6503408915
Si,13.2517044574,13.2517044574,7.9510226745
Si,10.6013635659,15.9020453489,0.0000000000
Si,18.5523862404,18.5523862404,7.9510226745
Si,15.9020453489,10.6013635659,0.0000000000
Si,18.5523862404,13.2517044574,2.6503408915
Si,15.9020453489,15.9020453489,5.3006817830
Si,0.0000000000,0.0000000000,15.9020453489
Si,2.6503408915,2.6503408915,18.5523862404
Si,0.0000000000,5.3006817830,10.6013635659
Si,7.9510226745,7.9510226745,18.5523862404
Si,5.3006817830,0.0000000000,10.6013635659
Si,7.9510226745,2.6503408915,13.2517044574
Si,5.3006817830,5.3006817830,15.9020453489
Si,10.6013635659,0.0000000000,15.9020453489
Si,13.2517044574,2.6503408915,18.5523862404
Si,10.6013635659,5.3006817830,10.6013635659
Si,15.9020453489,0.0000000000,10.6013635659
Si,15.9020453489,5.3006817830,15.9020453489
Si,2.6503408915,18.5523862404,13.2517044574
Si,0.0000000000,10.6013635659,15.9020453489
Si,2.6503408915,13.2517044574,18.5523862404
Si,0.0000000000,15.9020453489,10.6013635659
Si,7.9510226745,18.5523862404,18.5523862404
Si,5.3006817830,10.6013635659,10.6013635659
Si,7.9510226745,13.2517044574,13.2517044574
Si,5.3006817830,15.9020453489,15.9020453489
Si,10.6013635659,10.6013635659,15.9020453489
Si,10.6013635659,15.9020453489,10.6013635659
Si,18.5523862404,18.5523862404,18.5523862404
Si,15.9020453489,10.6013635659,10.6013635659
Si,18.5523862404,13.2517044574,13.2517044574
Ge,2.6503408915,7.9510226745,2.6503408915
Ge,2.6503408915,2.6503408915,7.9510226745
Ge,7.9510226745,7.9510226745,7.9510226745
Ge,0.0000000000,15.9020453489,0.0000000000
Ge,10.6013635659,10.6013635659,5.3006817830
Ge,2.6503408915,7.9510226745,13.2517044574
Ge,18.5523862404,2.6503408915,13.2517044574
Ge,15.9020453489,15.9020453489,15.9020453489
Sn,5.3006817830,0.0000000000,0.0000000000
Sn,7.9510226745,2.6503408915,2.6503408915
Sn,18.5523862404,7.9510226745,7.9510226745
Sn,5.3006817830,15.9020453489,5.3006817830
Sn,13.2517044574,7.9510226745,13.2517044574
Sn,18.5523862404,7.9510226745,18.5523862404
Sn,13.2517044574,18.5523862404,13.2517044574
Sn,13.2517044574,13.2517044574,18.5523862404
